Gamefile name:,AwShirt,,,
Soundfile no:,(Comments),Text to record,(Original),Done? (mark with x)
128190,,"Mi kredas ke kelkaj de vi iom ŝvitis ĉi foje. Ni vidu, ĉu portis fruktojn!",I believe some of you broke a sweat that time. Let’s see if it pays off…,
128193,,Venkanto!,Winner!,
128194,,La finala raŭndo nun komencas kaj nur la plej meritaj ĉemizoj de la antaŭaj raŭndoj konkuros. Preparu doni viajn voĉojn POR LA LASTA TEMPO.,The final gauntlet is upon us and only the most worthy shirts from the previous rounds will compete. Prepare to cast your votes FOR THE LAST TIME.,
128195,,Kaj ne cedu al fiero. Uzu sugeston se vi bezonas ĝin.,And Don’t give into pride. Use a suggestion if you need it.,
128196,,"Bonvenon al Tee K.O. Mi estas la turnira majstro…Tiu ne estas mia vera nomo, sed mia koramik(in)o diris ke turnira majstro sonas pli mistera.","Welcome to Tee K.O. I am the Tournament Master…that’s not my real name, but my girlfriend said Tournament Master was more mysterious",
128197,,Ni havas ĉampionon! ,We have a champion! ,
128198,,Komencu!,Begin!,
128199,,Raŭndo unu!,Gauntlet one!,
128200,,Mia sangosoifo estis satigita. Kaj mi finfine havas taŭgan vestaĵon por la edziĝfesto de mia kuzo.,My bloodlust is sated. And I finally have something to wear to my cousin’s wedding.,
128201,,"Por via lasta tasko, vi skribos laŭeble multe da sloganoj aŭ frazoj.","For your last exercise, you will write as many slogans or phrases as you can.",
128202,,Nova defianto aperas…,A new challenger appears…,
128203,,Vi ŝajnas promesplenaj. Plejparto de vi.,You show promise. Most of you.,
128205,,Eku la turniro!,Let the Tournament begin!,
128207,,..kontraŭ…,..versus…,
128208,,La dua turniro atendas kaj la ŝlimaj tentakloj de Fato miksis viajn desegnaĵojn kaj sloganojn.,The second gauntlet awaits and the slimy tentacles of destiny have shuffled your drawings and slogans.,
128209,,Tempo por trejnada sesio.,Time for a training break.,
128210,,Raŭndo du!,Gauntlet two!,
128210,,"Dum niaj konkurantoj trejnas, ĉiuj kiuj spektas la turniron povas aliĝi al la spektantaro por sendi proprajn sugestojn kaj influi la rezulton de la ludo!","While our contestants train, anyone watching the Tournament can join the audience to submit your own suggestions and affect the outcome of the game!",
128214,,Bonege.,Well done.,
128215,,Tempo forfluas. Hastu iom kaj pretiĝu!,Time grows short. Hurry up and finish already!,
128216,,Via trejnado finiĝis. Nun direktu la okulojn al viaj aparatoj.,Your training is complete. Now point your eyes at your device.,
128218,,"La sortoj benis vin per serio da bildoj kaj sloganoj. Selektu po unu por krei vian ĉampionan ĉemizon. Mi ne volas premi vin, sed MULTE dependas de tiu.","The fates have blessed you with a series of pictures and slogans. Select one of each to create your t-shirt champion. I don’t want to pressure you, but A LOT is riding on this.",
128221,,"Mi prenis vin ĉiujn ĉi tien al Ĉemizo-Insulo, ĉar vi estas la plej superaj ĉemizĉampionoj de tiu-ĉi Sfero. Kaj ĉar mi provas trovi pli da amikoj ekster la laborloko.","I have brought you all here to T-Shirt Island, because you are the greatest novelty t-shirt champions in this realm. And because I’m trying to make more friends outside of work",
128222,,Mi esperas ke vi elektas saĝe.,I hope you chose wisely.,
130881,,Batalu!,Fight!,
135664,,Plia turniro proksimiĝas al la fino. *suspirante* Ĉu mi maljuniĝas?,Another tournament comes to a close. *sigh* Am I getting old?,
135665,,"Vi ĉiuj batalis bone, sed nun la UNU vera venkanto evidentiĝis.","You have all fought well, but the one true winner has emerged.",
135666,,Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mia vorto estas leĝo. Sed fakte mi tre alireblas.,Welcome to Tee K.O. I am the Tournament Master and my word is law. But I’m actually very approachable.,
135667,,Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi havas la laŭleĝan aŭtoritaton edzigi ajnan paron por la daŭro de la ludo. Sed tiu malofte okazas.,Welcome to Tee K.O. I am the Tournament Master and I have the legal authority to marry any couple for the duration of the game. But that probably won’t come up.,
135668,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro, sed miaj amikoj nomas min “To-Mo”. Haha, ĉu vi komprenis? To-Mo, kiel ""Turnira Majstro"".","Welcome to Tee K.O. I am the Tournament Master, or as my friends know me, “TournMo”.",
135669,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Mi aĝas pli ol 5,000 jarojn, kaj mi estas refaranta Esperantan kurson ĉe Duolingo jam la 200-an fojon.","Welcome to Tee K.O. I am the Tournament Master. I’m over 5,000 years old, and I’m on my 200th re-watch of The Wire.",
135670,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi NE estas diablo. Ĉu komprenite, ĉiuj? Ĉesu demandi tion.","Welcome to Tee K.O. I am the Tournament Master and I am NOT the devil, okay everyone? Quit asking.",
135673,,"Nuuuu, jes, mi kredas ke tiuj funkcios.","Hmm yes, I think we can work with these.",
135674,,"Boooone, boooone. Vere bone!",Gooooood goood. Pretty good.,
135676,celas esti vortludo inter ĉemizo kaj katastrofo. Alternativaj proponoj bonvenatas,Ĉemizstrofo!,SHIRTALITY!,
135679,,"Dankon por renkonti min ĉi tie sur Ĉemizio. Tiuj de vi, kiuj travivas, ricevos senpagan flugon hejmen.",Thank you all for joining me here on T-Shirt Island. Those of you who live will receive a free flight home.,
135680,,Ataku!,Attack!,
135681,,Konkuru!,Battle!,
135682,,Engaĝu unu la alian en perforton!,Engage one another in violence!,
135683,,Engaĝu en batalon!,Engage in an altercation!,
135726,,Ek!,Go!,
135727,,"Batalu! ...Kaj per “batali”, mi intencas endoni viajn voĉojn per viaj aparatoj...",Fight! ...And by fight I mean enter your votes on your devices...,
136098,,Venkanto!,Winner,
136099,,Venkanto!,Winner!,
136100,,"Jen, ni havas belan venkanton!",Well if it isn\'t a winner!,
136101,,Haha! Jen Venkanto!,Haha! A Winner!,
136102,,Venkanto!,winner,
136105,,Haha! Venkanto!,haha! Winner!,
136108,,Raŭndo du!,Gauntlet two!,
136109,,Raŭndo du!,Gauntlet two!,
136110,,Raŭndo du!,gauntlet two!,
136113,,Raŭndo unu!,gauntlet one,
136114,,Raŭndo unu!,gautlet one,
136115,,"Ho, nova defianto aperas","oh, a new challenger appears",
136116,,"Ho, nova defianto aperas","oh, a new challenger appears",
136117,,"Ho, nova defianto aperas","oh, a new challenger appears",
136118,,"Ho, nova defianto aperas","oh, a new challenger appears",
136119,,"Ho, nova defianto aperas","oh, a new challenger appears",
136120,,Batalu!,fight!,
136121,,Batalu!,fight!,
136122,,Batalu!,fight!,
136123,,Vi eku kaj batalu!,Go ahead and Fight!,
136124,,Batalu unu la alian!,Fight each other!,
136125,,"Batalu por mi karaj, batalu!","Fight for me babies, Fight!",
136126,,Mi deziras ke vi batalu!,I want you to Fight!,
136127,,Konkuru!,fight!,
136128,,Konkuru!,fight!,
136129,,Ataku!,attack!,
136130,,Ataku!,attack!,
136131,,Ataku!,attack!,
136132,,Konkuru!,battle!,
136133,,Konkuru!,battle!,
136134,,kontraŭ,versus,
136135,,kontraŭ,versus,
136136,,kontraŭ,versus,
136137,,Ni havas ĉampionon!,we have a champion!,
136138,,Komencu!,begin,
136139,,Komencu!,begin,
136140,,Komencu!,begin,
136141,,Komencu!,begin,
136142,,Komencu!,begin,
136143,,Komencu!,begin,
136144,,Komencu!,begin,
136145,,Komencu!,begin,
136146,,La turniro komencu!,Let the tournament begin!,
136147,,La turniro komencu!,Let the tournament begin!,
136148,,La turniro komencu!,Let the tournament begin!,
136149,,La turniro komencu!,Let the tournament begin!,
138323,,Ek!,go!,
138324,,Ek!,go!,
138325,,Ek!,go!,
138326,,Ek!,go!,
138327,,Ek!,go!,
138328,,Ek!,go!,
138329,,Ek!,go!,
138330,,Ek!,go!,x
138331,,Ek!,go!,
138353,,Ek!,go!,
138354,,Ek!,go!,
138355,,Ek!,go!,
138884,,Elstare!,Excellent,
138888,,"Uzu viajn aparatojn por krei viajn ĉemizojn. Ju pli kiĉa, des pli bona, miaopinie.","Use your device to create your t-shirt. The tackier the better, I say.",
138891,,Nun la sloganoj. Provu ne esti tiom enuaj.,Next the slogans. Try not to be too boring.,
138892,,"Desegnu ion belan por mi, ĉu bone?","Draw me something pretty, won\'t you?",
138929,,Tempas desegni!,Time to draw!,
138930,,Ek al artumado.,Let\'s make some art.,
138931,,Ĉu vi pretas por desegni?,Ready to draw?,
138932,,Desegnotempo okazas nun.,Drawing time is upon us.,
138933,,Desegnaĵo numero unu...,Drawing number one...,
138934,,"Pretigu la desegnofingrojn, kaj...","Drawing fingers ready, and...",
138935,,"Ni desegnu, ĉu okej?","Let\'s draw, shall we?",
138936,,"Ĉifoje, desegnu ion bonan.",Draw something good this time.,
138937,,Surprizu min per desegnaĵoj.,Hit me with some drawings.,
141454,,ĈEMIZSTROFO!,SHIRTALITY!,
141455,,ĈEMIZSTROFO!,SHIRTALITY!,
141703,,Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj laŭ tiu ĉi antikva gemo sur mia pojno mi faris 1400 paŝojn hodiaŭ!,"Welcome to Tee K.O. I am the Tournament Master and according to the ancient gem on my wrist, I\'ve walked 1400 steps today!",
141704,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Nu, fakte mi estas lia identa ĝemelo, sed li estas ĉe dentisto nun do mi helpas.","Welcome to Tee K.O. I am the Tournament Master. Well, actually I\'m his identical twin brother, but he\'s at the dentist so I\'m filling in.",
141705,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi havas strangan ekzantemon sur eta piedfingro. Tiu tute ne gravas al la ludo, ĝi nur estas io, kiu lastafoje estas sur mia menso.","Welcome to Tee K.O. I am the Tournament Master and I\'ve go a weird rash on my pinky toe. That\'s not important to the game, just something I\'m thinking about.",
141706,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Miaj ŝatoj inkluzivas ĉemizojn kaj batalojn. Miaj malŝatoj inkluzivas marfruktojn, negativecon, and kaj psikologian manipuladon. Vivo tro mallongas.","Welcome to Tee K.O. I am the Tournament Master. My likes include t-shirts and fighting. My dislikes include seafood, negativity, and mind games. Life is too short.",
141707,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro, kaj laŭ la sabloj en mia mistika sablohoroloĝo, vi tro malfruas por partopreni en la turniro. Aĥ, momenton…. ŝajne la ĥoroloĝo tro rapidas. Vi entempas.","Welcome to Tee K.O. I am the Tournament Master, and according to the sands in my mystical hourglass, you\'re too late to enter the tournament. Oh wait, this is running fast. You\'re good.",
141708,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Sed tiu ne estas ĈIO kio mi estas, ĉu vi komprenas? Mi ankaŭ ludas la hobojon.","Welcome to Tee K.O. I am the Tournament Master. But that\'s not ALL I am, you know? I also play the oboe.",
141709,,Bonvenon al Tee K.O.. Mi estas la turnira majstro. Bonvolu aplaŭdi nur post la turniro.,Welcome to Tee K.O. I am the Tournament Master. Please hold your applause until after the tournament.,
141710,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro, same kiel estis mia patriĉo, kaj lia patriĉo antaŭ li. Tiu antaŭ li estis sekretario.","Welcome to Tee K.O. I am the Tournament Master, just as my father was, and his father before him. The one before that was a paralegal.",
141711,,Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi BELAS hodiaŭ.,Welcome to Tee K.O. I am the Tournament Master and I look GOOD today.,
141712,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro, inventinto de la danĝera KvinFalda Eksploda Ĉemizo-Tekniko. Atendatas patento.","Welcome to Tee K.O. I am the Tournament Master, inventor of the deadly Five Fold Exploding T-Shirt Technique. Patent pending.",
141713,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Sed eble vi konas min sub la uzantnomo ĉemizamanto1504. Viŝu dekstren, karuloj.","Welcome to Tee K.O. I am the Tournament Master. But you may know me as ShirtLover1504. Swipe right, ladies.",
141714,,Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mia akĉento ne estas pretendaĵo! ,Welcome to Tee K.O. I am the Tournament Master and this accent is NOT an affectation!,
141715,,Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi nuntempe akceptas kandidatiĝojn por morale aĉetebla sbiro. Prefere vi havu tri jarojn da sperto.,Welcome to Tee K.O. I am the Tournament Master and I\'m currently accepting applications for a morally corruptible henchman. Three years experience preferred.,
141716,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi feliĉas pri la vivo, kiun mi elektis. Ĉu vi aŭdis, panjo??",Welcome to Tee K.O. I am the Tournament Master and I\'m happy with the life I have chosen. Okay mom??,
141717,,Bonvenon al Tee K.O.. Mi estas la turnira majstro. Do se vi vidas kafotason kun la vortoj “Monde Plej Bona Turnira Majstro” vi ne uzu ĝin. Tiu klare estas mia taso!,"Welcome to Tee K.O. I am the Tournament Master. So if you see a coffee mug that says \""World\'s Greatest Tournament Master\"" do not use it. That is clearly my mug!",
141718,,Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi hodiaŭ decidis ekstudi Idon. Ĝia lingva melodieco estas tiom pli agrabla!.,"Welcome to Tee K.O. I am the Tournament Master. If you\'re wondering what I look like, think young Patrick Dempsey.",
141719,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj kredu aŭ ne, mi esperantistiĝis jam en 1886!","Welcome to Tee K.O. I am the Tournament Master and I just perfected the Stare of Death! So that should--Whoops! Looked in the mirror! Oh boy. Well, let\'s move this thing along before I die.",
141720,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro, kaj nur ke mi maljunas ne signifas ke mi malmodernas. Tiuj TEJO-kondomoj? Mojosege.","Welcome to Tee K.O. I am the Tournament Master, and just because I\'m old doesn\'t mean I\'m out of touch! Those Budweiser frogs? Hilarious.",
141721,,Bonvenon al Tee K.O.. Mi estas la turnira majstro. Aŭ eble mi estas unu de liaj multaj kvazaŭhomaj robotaj duoblaĵoj? Eĉ mi ne certas!,Welcome to Tee K.O. I am the Tournament Master. Or perhaps I\'m one of his many lifelike robot duplicates? Even I\'m not sure!,
141722,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro, kaj jen mia nevidebla helpspirito, Dimitrij. Diru saluton, Dimitrij...Dimitrij? *suspirante* Mi denove perdis lin.","Welcome to Tee K.O. I am the Tournament Master, and this is my invisible familiar, Dimitri. Say hello, Dimitri...Dimitri? *sigh* Lost him again.",
141723,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. La ĵaluzeco, kiun vi sentas, estas tute normala.",Welcome to Tee K.O. I am the Tournament Master. The jealousy you\'re experiencing is perfectly normal.,
141724,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Nur por ke vi scias, la eliksiro kiu donas al mi eternan vivon jam komencas afekcii la parolfunkcian regionon de mia cerbo. Do se mi uzas la malĝustajn balenojn, jen kial.","Welcome to Tee K.O. I am the Tournament Master. Just an FYI, the elixir that gives me eternal life is beginning to affect the speech center of my brain. So if I use the wrong porcupines, that\'s why.",
141725,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro, kaj mia menso estas mortiga armilo. Vi volas testi ĝin? Provu ataki min! Mi--AH! AH! Mi ne estis preta! Kio la fuk.","Welcome to Tee K.O. I am the Tournament Master, and my mind is a lethal weapon. Go ahead, try and attack my mind! I--OW! AH! I wasn\'t ready! Geez.",
141726,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Fakte mi devus nun havi mian tagmanĝan paŭzon, sed mi povas do vori kelkajn rubaĵojn inter la raŭndoj.","Welcome to Tee K.O. I am the Tournament Master. This was supposed to be my lunch break, but I guess I\'ll I\'ll just wolf down a hot pocket between rounds.",
141727,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Nekredeble, se vi dirintus al mi antaŭ mil jaroj ke mi ANKORAŬ estrus tiujn turnirojn hodiaŭ? Nu, sed la laborhoroj bonas kaj mi ricevas dentistan asekuron, do … jen.","Welcome to Tee K.O. I am the Tournament Master. Boy, if you told me a thousand years ago I\'d STILL be mastering this tournament? But, the hours are good and I need the dental plan, so here we are.",
141728,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Mi dirus al vi mian veran nomon, sed viaj rompeblaj homaj mensoj ne komprenus ĝin. Krome mi timas interretan identeco-ŝtelon!","Welcome to Tee K.O. I am the Tournament Master. I\'d tell you my real name, but your fragile human minds couldn\'t comprehend it. Plus I\'m terrified of cyberspace identity theft!",
141729,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi estigis psikologian konekton kun ĉiu ĉemizo en la universo. Estas… multe pli ŝvita, ol mi imagis.",Welcome to Tee K.O. I am the Tournament Master and  I have forged a psychic bond with every t-shirt in the universe. It\'s...a lot sweatier than I predicted.,
141730,,Bonvenon al Tee K.O.. Mi estas la turnira majstro. Vi eble memoras min de 2005-jaraj klaĉgazetaj bildoj kun Shelley Long. Ni estis paro por unu monato.,Welcome to Tee K.O. I am the Tournament Master. You may remember me from mid-2005 paparazzi photos of Shelley Long. We dated briefly.,
141731,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Ĉu mi povas interesi vin pri senpaga personeca testo? Ne? Bone, ni do simple komencu la ludon.","Welcome to Tee K.O. I am the Tournament Master. Can I interest you in a free personality test? No? All right, on with the game then.",
141732,,Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi finfine decidis pri mia unua tatuo. Ĝi estos la japana signo por “travivinto” sur la ena flanko de mia femuro. Tiamaniere ĝi estas mia eta sekreto.,"Welcome to Tee K.O. I am the Tournament Master and I\'m finally pulling the trigger on my first tattoo. It\'s the Japanese characters for \""survivor\"" right on the inside of my thigh. That way it\'s my little secret.",
141733,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mia horoskopo diras ke estas bonega tago por komenci novajn aventurojn kun aliuloj, do ni eku!","Welcome to Tee K.O. I am the Tournament Master and my horoscope says it\'s a great day to start new enterprises with others, so let\'s get started!",
141734,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi ŝateeeeeeeeegas gufujojn. Ni havu gufujon post la turniro, ĉu bone?","Welcome to Tee K.O. I am the Tournament Master and I just found out that I am not a Summer, but an Autumn. So that\'s a whole season of shirts off to Goodwill.",
141735,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi ankaŭ gastigas per la Pasporta Servo. Hodiaŭ mi jam havas aliajn planojn, sed se vi iam hazarde havas farendaĵojn sur tiu ĉi insulo, simple sendu retmesaĝon!","Welcome to Tee K.O. I am the Tournament Master and I\'m looking for my grasshopper. Oh, I\'m sorry, I thought you were the cabana boy. (off mic) Can somebody make me a grasshopper! (back) Okay, back to this.",
141736,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro, kaj vi povas dungi min por via sekva festo aŭ komerca evento! Mi tamen ne plu haveblas por adoleskulaj naskiĝtagaj festoj, danku al Kendra pri tiu. ","Welcome to Tee K.O. I am the Tournament Master, and I\'m available for your next party or corporate event! But I do not do sweet 16\'s. You can thank Kendra for that.",
141737,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro, kaj se iu scias kiel forlavi vinajn makulojn el 3000 jaraĝa ceremonia tablotuko, bonvolu persone kontakti min.","Welcome to Tee K.O. I am the Tournament Master, and if anyone knows how to get red wine stains out of a 3,000 year old ceremonial tablecloth, please DM me.",
141738,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Eble mi ne disdonas tiom multajn saĝaĵojn kiel ALIAJ antikvaj majstroj, sed memoru la jenan: tiu, kiu parolas...malpli...pensas...malfrue. Fek, jen kial mi ne faras tion.","Welcome to Tee K.O. I am the Tournament Master, and I may not dispense a lot of wise old sayings like those OTHER ancient masters, but remember: he who talks...less...thinks...last. Darn it, this is why I don\'t do it.",
141739,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Krom se vi venas de mia kreditkarta firmo. Tiam tiu homo translokiĝis, mi dirus.","Welcome to Tee K.O. I am the Tournament Master. Unless you\'re with the Old Navy credit card people, in which case that guy moved, I think.",
141740,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Ne por tiuj turniroj de golfo, sed tiuj turniroj kie ĉemizoj batalas unu la alian. Golfo ridindas.","Welcome to Tee K.O. I am the Tournament Master. Not the golf one, the one where t-shirts fight each other. Golf is ridiculous.",
141741,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Sufiĉe mistera, ĉu ne? Por lerni pri mia sekreta deveno, legu na Tee K.O. Komikso Volumo 144! Enĉemiziĝu, ĉemizemuloj!","Welcome to Tee K.O. I am the Tournament Master. Pretty mysterious huh? To learn my secret origin, check out Tee K.O. Comics issue 144! Shirt on, shirt fans!",
141742,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Mi vekiĝis de mia kelkcentjara dormo por plenumi mian sanktan devon. Ne, mi nur ŝercis, mi la tutan tempon spektis televidseriojn.","Welcome to Tee K.O. I am the Tournament Master. I have awoken from my centuries long slumber to perform my sacred duty. No, I\'m messing with you, I was just watching Dr. Phil.",
141743,,Bonvenon al Tee K.O.. Mi estas la turnira majstro. Vi eble rekonas mian voĉon de la fundo de viaj plej enigmaj sonĝoj. Mi ankaŭ aperis en reklamo por glaciaĵo.,Welcome to Tee K.O. I am the Tournament Master. You may recognize my voice from the depths of your most enigmatic dreams. I also did an ice tea commercial.,
141744,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro kaj mi havas arakidan alergion. Multaj homoj ŝatas doni al mi post-turnirajn donacojn, eble keksojn. Mi nur diras, bonvole nenion arakidan.","Welcome to Tee K.O. I am the Tournament Master and I\'m allergic to peanuts. A lot of people like to give me a post-tournament gift, maybe some cookies. I\'m just saying nothing with peanut butter please.",
141745,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. Mia laboro estas tiom pleniga, kiel ĝi sonas.",Welcome to Tee K.O. I am the Tournament Master. It\'s about as fulfilling as it sounds.,
141746,,"Bonvenon al Tee K.O.. Mi estas la turnira majstro. La turniro-gvidado mem estas amuza, sed estas MULTE da administrada laboro ĉirkaŭ ĝi. Mi vere bezonas staĝanton.","Welcome to Tee K.O. I am the Tournament Master. The actual tournament mastering part is fun, but there\'s a ton of admin work that goes along with it. I really need an intern.",
142026,,"Mi esperas ke vi ĉiuj ĝuis la boatan vojaĝon al Ĉemizio. Se la ondoj naŭzis vin, provu direkti vian vomon FOR de la kristalklara akvo de mia insula hejmo.","I hope you all enjoyed the boat trip to T-Shirt Island. If you\'re going to be seasick, do try to aim AWAY from the crystal blue waters of my island home.",
142027,,"Ni atingis la belegan insulon Ĉemizio, hejmo de la Tee K.O. Turniro. Kaj ankaŭ la hejmo de Bova T-Burgero. Kiam vi mendas ĝin, uzu ĝian plenan nomon.","We\'ve arrived at scenic T-Shirt Island, home of the Tee K.O. Tournament. And also home of the Beefy T Burger. Ask for it by name.",
142028,,"Vi rajtas libere esplori Ĉemizion dum viaj trejnadaj paŭzoj. Sed restu sur la padoj. Ĉiufoje kiam fajra spirito bruligas unu de vi, mia asekuro plimultkostiĝas.","Feel free to explore T-Shirt Island during your training breaks. But keep to the trails. Every time one of you gets immolated by a fire spirit, my insurance goes up.",
